NAME,DATE,TAVG,TMIN,TMAX
"COLORADO CITY COLORADO, CO US",1/6/2021,39.0,39.0,39.0
"VALENTINE NEBRASKA, NE US",1/6/2021,33.0,33.0,33.0
"SOMERSET KENTUCKY, KY US",1/6/2021,35.0,35.0,35.0
"KIAMICHI OKLAHOMA, OK US",1/6/2021,40.0,40.0,40.0
"HAVRE DE GRACE 4.0 WNW, MD US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"UNIVERSITY OF HAWAII 713, HI US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"MCFARLAND HILL MAINE, ME US",1/6/2021,27.0,27.0,27.0
"BIG OAKS INDIANA, IN US",1/6/2021,34.0,34.0,34.0
"CONCORD 3.8 SSE, NH US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"EB FORSYTHE NEW JERSEY, NJ US",1/6/2021,38.0,38.0,38.0
"SAVRAW SOUTH CAROLINA, SC US",1/6/2021,44.0,44.0,44.0
"BUFFUMVILLE LAKE, MA US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"RINCON ARIZONA, AZ US",1/6/2021,46.0,46.0,46.0
"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"NINIGRET RHODE ISLAND, RI US",1/6/2021,36.0,36.0,36.0
"MATTHEWS PALMER PLAYGROUND NEW YORK 6.8 NNW, NY US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"EFFIE MINNESOTA, MN US",1/6/2021,22.0,22.0,22.0
"DAWSONVILLE GEORGIA, GA US",1/6/2021,39.0,39.0,39.0
"IOWA CITY MUNICIPAL AIRPORT, IA US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"MDC CLINTON HQTRS MISSOURI, MO US",1/6/2021,41.0,41.0,41.0
"PLEASANT GROVE UTAH, UT US",1/6/2021,31.0,31.0,31.0
"SAND CREEK NORTH DAKOTA, ND US",1/6/2021,28.0,28.0,28.0
"CAMPBELL 1.4 NNW, FL US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"KISATCHIE FTS LOUISIANA, LA US",1/6/2021,51.0,51.0,51.0
"ALLISON OREGON, OR US",1/6/2021,31.0,31.0,31.0
"CALAVERAS ROAD CALIFORNIA, CA US",1/6/2021,49.0,49.0,49.0
"KANSAS CITY 2.1 SSW, KS US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"ALBUQUERQUE 5.0 NE, NM US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"BUDE MISSISSIPPI, MS US",1/6/2021,51.0,51.0,51.0
"MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT, WV US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"MOUNT RUSHMORE SOUTH DAKOTA, SD US",1/6/2021,32.0,32.0,32.0
"ST. MARY MONTANA, MT US",1/6/2021,38.0,38.0,38.0
"BARKHAMSTED, CT US",1/6/2021,36.37931034482759,36.37931034482759,36.37931034482759
"SPRUCE MOUNTAIN NEVADA, NV US",1/7/2021,30.0,30.0,30.0
"CASPER MOUNTAIN WYOMING, WY US",1/7/2021,23.0,23.0,23.0
"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"BLACK KNOB WASHINGTON, WA US",1/7/2021,43.0,43.0,43.0
"FORT BRAGG NORTH CAROLINA, NC US",1/7/2021,39.0,39.0,39.0
"COLORADO BEND TEXAS, TX US",1/7/2021,46.0,46.0,46.0
"MARTIN UNIVERSITY OF TN EXPERIMENT STATION, TN US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"SHOCK IDAHO, ID US",1/7/2021,32.0,32.0,32.0
"ELMORE VERMONT, VT US",1/7/2021,20.0,20.0,20.0
"ALLEGHENY PENNSYLVANIA, PA US",1/7/2021,28.0,28.0,28.0
"COLORADO CITY COLORADO, CO US",1/7/2021,44.0,44.0,44.0
"VALENTINE NEBRASKA, NE US",1/7/2021,31.0,31.0,31.0
"SOMERSET KENTUCKY, KY US",1/7/2021,36.0,36.0,36.0
"KIAMICHI OKLAHOMA, OK US",1/7/2021,34.0,34.0,34.0
"HAVRE DE GRACE 4.0 WNW, MD US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"UNIVERSITY OF HAWAII 713, HI US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"MCFARLAND HILL MAINE, ME US",1/7/2021,29.0,29.0,29.0
"BIG OAKS INDIANA, IN US",1/7/2021,35.0,35.0,35.0
"CONCORD 3.8 SSE, NH US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"EB FORSYTHE NEW JERSEY, NJ US",1/7/2021,36.0,36.0,36.0
"SAVRAW SOUTH CAROLINA, SC US",1/7/2021,42.0,42.0,42.0
"BUFFUMVILLE LAKE, MA US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"RINCON ARIZONA, AZ US",1/7/2021,44.0,44.0,44.0
"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"NINIGRET RHODE ISLAND, RI US",1/7/2021,36.0,36.0,36.0
"MATTHEWS PALMER PLAYGROUND NEW YORK 6.8 NNW, NY US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"EFFIE MINNESOTA, MN US",1/7/2021,22.0,22.0,22.0
"DAWSONVILLE GEORGIA, GA US",1/7/2021,38.0,38.0,38.0
"IOWA CITY MUNICIPAL AIRPORT, IA US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"MDC CLINTON HQTRS MISSOURI, MO US",1/7/2021,35.0,35.0,35.0
"PLEASANT GROVE UTAH, UT US",1/7/2021,34.0,34.0,34.0
"SAND CREEK NORTH DAKOTA, ND US",1/7/2021,27.0,27.0,27.0
"CAMPBELL 1.4 NNW, FL US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"KISATCHIE FTS LOUISIANA, LA US",1/7/2021,46.0,46.0,46.0
"ALLISON OREGON, OR US",1/7/2021,31.0,31.0,31.0
"CALAVERAS ROAD CALIFORNIA, CA US",1/7/2021,47.0,47.0,47.0
"KANSAS CITY 2.1 SSW, KS US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
"ALBUQUERQUE 5.0 NE, NM US",1/7/2021,35.172413793103445,35.172413793103445,35.172413793103445
